22C,
Longitud de onda,Absorbancia
3447.18955,-0.0174
3446.48156,-0.01744
3445.77358,-0.01747
3445.06559,-0.01751
3444.3576,-0.01754
3443.64961,-0.01758
3442.94163,-0.01762
3442.23364,-0.01765
3441.52565,-0.01769
3440.81766,-0.01772
3440.10968,-0.01776
3439.40169,-0.0178
3438.6937,-0.01783
3437.98572,-0.01787
3437.27773,-0.01791
3436.56974,-0.01795
3435.86175,-0.01799
3435.15377,-0.01803
3434.44578,-0.01807
3433.73779,-0.01811
3433.02981,-0.01815
3432.32182,-0.0182
3431.61383,-0.01824
3430.90584,-0.01829
3430.19786,-0.01833
3429.48987,-0.01838
3428.78188,-0.01842
3428.0739,-0.01847
3427.36591,-0.01851
3426.65792,-0.01856
3425.94993,-0.01861
3425.24195,-0.01866
3424.53396,-0.0187
3423.82597,-0.01875
3423.11799,-0.0188
3422.41,-0.01884
3421.70201,-0.01889
3420.99402,-0.01894
3420.28604,-0.01898
3419.57805,-0.01903
3418.87006,-0.01907
3418.16208,-0.01911
3417.45409,-0.01915
3416.7461,-0.01919
3416.03811,-0.01923
3415.33013,-0.01927
3414.62214,-0.01931
3413.91415,-0.01934
3413.20617,-0.01938
3412.49818,-0.01941
3411.79019,-0.01945
3411.0822,-0.01948
3410.37422,-0.01952
3409.66623,-0.01955
3408.95824,-0.01959
3408.25025,-0.01963
3407.54227,-0.01967
3406.83428,-0.01971
3406.12629,-0.01975
3405.41831,-0.01979
3404.71032,-0.01984
3404.00233,-0.01988
3403.29434,-0.01993
3402.58636,-0.01998
3401.87837,-0.02003
3401.17038,-0.02008
3400.4624,-0.02013
3399.75441,-0.02018
3399.04642,-0.02023
3398.33843,-0.02028
3397.63045,-0.02033
3396.92246,-0.02037
3396.21447,-0.02042
3395.50649,-0.02047
3394.7985,-0.02051
3394.09051,-0.02055
3393.38252,-0.02059
3392.67454,-0.02063
3391.96655,-0.02067
3391.25856,-0.0207
3390.55058,-0.02073
3389.84259,-0.02076
3389.1346,-0.02079
3388.42661,-0.02081
3387.71863,-0.02084
3387.01064,-0.02086
3386.30265,-0.02088
3385.59467,-0.0209
3384.88668,-0.02092
3384.17869,-0.02094
3383.4707,-0.02096
3382.76272,-0.02098
3382.05473,-0.021
3381.34674,-0.02103
3380.63876,-0.02105
