23A,
Longitud de onda,Absorbancia
3305.59211,-0.02069
3304.88413,-0.02067
3304.17614,-0.02066
3303.46815,-0.02064
3302.76017,-0.02063
3302.05218,-0.02063
3301.34419,-0.02062
3300.6362,-0.02061
3299.92822,-0.02061
3299.22023,-0.0206
3298.51224,-0.0206
3297.80426,-0.02059
3297.09627,-0.02059
3296.38828,-0.02058
3295.68029,-0.02058
3294.97231,-0.02057
3294.26432,-0.02056
3293.55633,-0.02055
3292.84835,-0.02054
3292.14036,-0.02053
3291.43237,-0.02052
3290.72438,-0.02051
3290.0164,-0.02049
3289.30841,-0.02047
3288.60042,-0.02046
3287.89244,-0.02044
3287.18445,-0.02042
3286.47646,-0.0204
3285.76847,-0.02038
3285.06049,-0.02036
3284.3525,-0.02034
3283.64451,-0.02032
3282.93653,-0.0203
3282.22854,-0.02028
3281.52055,-0.02026
3280.81256,-0.02024
3280.10458,-0.02022
3279.39659,-0.02019
3278.6886,-0.02017
3277.98061,-0.02015
3277.27263,-0.02013
3276.56464,-0.02011
3275.85665,-0.02009
3275.14867,-0.02007
3274.44068,-0.02005
3273.73269,-0.02002
3273.0247,-0.02
3272.31672,-0.01998
3271.60873,-0.01996
3270.90074,-0.01995
3270.19276,-0.01993
3269.48477,-0.01991
3268.77678,-0.01989
3268.06879,-0.01988
3267.36081,-0.01987
3266.65282,-0.01986
3265.94483,-0.01985
3265.23685,-0.01984
3264.52886,-0.01983
3263.82087,-0.01983
3263.11288,-0.01983
3262.4049,-0.01983
3261.69691,-0.01984
3260.98892,-0.01984
3260.28094,-0.01985
3259.57295,-0.01986
3258.86496,-0.01987
3258.15697,-0.01989
3257.44899,-0.0199
3256.741,-0.01992
3256.03301,-0.01993
3255.32503,-0.01995
3254.61704,-0.01996
3253.90905,-0.01998
3253.20106,-0.01999
3252.49308,-0.02
3251.78509,-0.02001
3251.0771,-0.02002
3250.36912,-0.02003
3249.66113,-0.02003
3248.95314,-0.02004
3248.24515,-0.02004
3247.53717,-0.02003
3246.82918,-0.02003
3246.12119,-0.02002
3245.4132,-0.02002
3244.70522,-0.02001
3243.99723,-0.02
3243.28924,-0.01999
3242.58126,-0.01998
3241.87327,-0.01997
3241.16528,-0.01997
3240.45729,-0.01996
3239.74931,-0.01996
3239.04132,-0.01995
3238.33333,-0.01995
3237.62535,-0.01995
3236.91736,-0.01996
3236.20937,-0.01996
3235.50138,-0.01997
3234.7934,-0.01998
3234.08541,-0.01999
3233.37742,-0.02
3232.66944,-0.02001
3231.96145,-0.02003
3231.25346,-0.02004
3230.54547,-0.02005
3229.83749,-0.02007
3229.1295,-0.02008
3228.42151,-0.02009
3227.71353,-0.0201
3227.00554,-0.0201
3226.29755,-0.02011
3225.58956,-0.02011
3224.88158,-0.02012
3224.17359,-0.02012
3223.4656,-0.02012
3222.75762,-0.02011
3222.04963,-0.02011
3221.34164,-0.0201
3220.63365,-0.0201
3219.92567,-0.02009
3219.21768,-0.02008
3218.50969,-0.02007
3217.80171,-0.02006
3217.09372,-0.02004
3216.38573,-0.02003
3215.67774,-0.02002
3214.96976,-0.02
3214.26177,-0.01999
3213.55378,-0.01997
3212.84579,-0.01996
3212.13781,-0.01994
3211.42982,-0.01992
3210.72183,-0.0199
3210.01385,-0.01987
3209.30586,-0.01985
3208.59787,-0.01982
3207.88988,-0.0198
3207.1819,-0.01977
3206.47391,-0.01973
3205.76592,-0.0197
3205.05794,-0.01966
3204.34995,-0.01962
3203.64196,-0.01958
3202.93397,-0.01954
3202.22599,-0.01949
3201.518,-0.01945
3200.81001,-0.0194
3200.10203,-0.01935
3199.39404,-0.0193
3198.68605,-0.01925
3197.97806,-0.0192
3197.27008,-0.01914
3196.56209,-0.01909
3195.8541,-0.01904
3195.14612,-0.01898
3194.43813,-0.01893
3193.73014,-0.01888
3193.02215,-0.01882
3192.31417,-0.01877
3191.60618,-0.01872
3190.89819,-0.01867
3190.19021,-0.01861
3189.48222,-0.01856
3188.77423,-0.01851
3188.06624,-0.01845
3187.35826,-0.0184
3186.65027,-0.01835
3185.94228,-0.01829
3185.2343,-0.01824
3184.52631,-0.01818
3183.81832,-0.01813
3183.11033,-0.01807
3182.40235,-0.01801
3181.69436,-0.01795
3180.98637,-0.01789
3180.27838,-0.01783
3179.5704,-0.01777
3178.86241,-0.01771
3178.15442,-0.01764
